timestamps,open,high,low,close,volume,amount
2023-09-11 13:00:00+00:00,1594.16,1595.81,1591.54,1593.56,4511.2906,7189115.217089
2023-09-11 13:30:00+00:00,1593.56,1598.34,1587.72,1588.3,8361.3225,13319125.536676
2023-09-11 14:00:00+00:00,1588.31,1590.07,1566.68,1578.88,42865.6447,67617370.158417
2023-09-11 14:30:00+00:00,1578.89,1582.6,1550.0,1559.11,48579.2549,75958404.610115
2023-09-11 15:00:00+00:00,1559.1,1565.47,1551.36,1560.47,19528.6863,30443061.555955
2023-09-11 15:30:00+00:00,1560.48,1564.12,1559.05,1562.65,8644.6218,13496810.576658
2023-09-11 16:00:00+00:00,1562.64,1568.06,1559.87,1563.84,9929.2926,15519788.110954
2023-09-11 16:30:00+00:00,1563.84,1564.01,1557.75,1558.1,8369.3506,13059495.017451
2023-09-11 17:00:00+00:00,1558.1,1559.51,1551.76,1557.03,9758.4525,15176781.875155
2023-09-11 17:30:00+00:00,1557.04,1564.15,1556.66,1564.14,5429.6451,8474059.583982
2023-09-11 18:00:00+00:00,1564.15,1564.15,1560.22,1561.03,3146.7523,4913968.943893
2023-09-11 18:30:00+00:00,1561.03,1562.25,1555.15,1556.05,4643.2302,7235888.553911
2023-09-11 19:00:00+00:00,1556.06,1557.02,1536.83,1549.82,21413.3129,33119819.076287
2023-09-11 19:30:00+00:00,1549.81,1550.41,1537.73,1539.37,17936.9293,27668212.114136
2023-09-11 20:00:00+00:00,1539.36,1546.27,1531.01,1542.88,17700.9785,27240789.741939
2023-09-11 20:30:00+00:00,1542.88,1544.68,1540.58,1541.82,4846.8344,7478401.370398
2023-09-11 21:00:00+00:00,1541.82,1548.29,1538.89,1545.75,7128.4846,11004626.484522
2023-09-11 21:30:00+00:00,1545.76,1547.15,1541.76,1544.03,1968.3271,3039504.87586
2023-09-11 22:00:00+00:00,1544.02,1549.0,1544.02,1548.61,3336.8268,5159424.534756
2023-09-11 22:30:00+00:00,1548.61,1549.53,1547.15,1547.92,3349.8774,5186835.113361
2023-09-11 23:00:00+00:00,1547.93,1550.48,1545.83,1547.9,4448.5454,6886843.743238
2023-09-11 23:30:00+00:00,1547.9,1552.03,1547.89,1551.85,3597.485,5574532.909797
2023-09-12 00:00:00+00:00,1551.84,1552.74,1549.67,1550.87,2609.305,4047820.916389
2023-09-12 00:30:00+00:00,1550.87,1559.25,1549.71,1557.35,6113.6677,9505766.105951
2023-09-12 01:00:00+00:00,1557.36,1558.26,1552.7,1553.43,2821.248,4388249.375992
2023-09-12 01:30:00+00:00,1553.44,1554.0,1552.12,1552.43,2148.726,3336882.317058
2023-09-12 02:00:00+00:00,1552.44,1554.51,1552.09,1554.12,1395.8927,2168422.728468
2023-09-12 02:30:00+00:00,1554.13,1558.97,1553.78,1557.45,5397.1663,8402950.473714
2023-09-12 03:00:00+00:00,1557.45,1594.82,1557.44,1592.5,33333.1154,52555572.419535
2023-09-12 03:30:00+00:00,1592.51,1593.79,1580.72,1584.81,11354.156,17996627.075211
2023-09-12 04:00:00+00:00,1584.8,1593.5,1584.34,1586.86,13140.9874,20881368.056846
2023-09-12 04:30:00+00:00,1586.86,1588.4,1581.43,1582.44,8513.4444,13499410.034444
2023-09-12 05:00:00+00:00,1582.44,1582.91,1576.52,1576.91,8136.3223,12847619.606819
2023-09-12 05:30:00+00:00,1576.91,1581.31,1576.28,1580.83,3414.2593,5392356.089872
2023-09-12 06:00:00+00:00,1580.83,1585.02,1579.21,1580.17,5965.1556,9434810.418517
2023-09-12 06:30:00+00:00,1580.18,1580.95,1578.34,1579.02,3441.3888,5435996.423465
2023-09-12 07:00:00+00:00,1579.02,1581.57,1574.44,1575.93,3188.8279,5031362.06286
2023-09-12 07:30:00+00:00,1575.92,1581.77,1575.92,1580.05,4360.1969,6887327.89605
2023-09-12 08:00:00+00:00,1580.04,1584.13,1578.57,1580.69,3119.3357,4931490.760207
2023-09-12 08:30:00+00:00,1580.7,1581.12,1576.42,1577.86,2236.3216,3530608.911907
2023-09-12 09:00:00+00:00,1577.85,1581.42,1576.38,1581.3,3265.396,5155308.841483
2023-09-12 09:30:00+00:00,1581.31,1590.57,1580.36,1589.19,8192.0957,12984507.776194
2023-09-12 10:00:00+00:00,1589.2,1626.0,1586.63,1613.06,34907.0789,56185925.36015
2023-09-12 10:30:00+00:00,1613.07,1614.89,1605.1,1613.39,16084.5591,25888500.100054
2023-09-12 11:00:00+00:00,1613.4,1615.49,1608.76,1610.28,7613.7662,12273907.722819
2023-09-12 11:30:00+00:00,1610.28,1610.28,1606.41,1609.48,2967.553,4772160.240968
2023-09-12 12:00:00+00:00,1609.48,1612.02,1607.1,1608.95,3520.9404,5668248.242108
2023-09-12 12:30:00+00:00,1608.96,1611.49,1603.76,1604.47,8265.1533,13286366.190659
2023-09-12 13:00:00+00:00,1604.46,1605.39,1595.07,1599.25,8934.1159,14294989.502356
2023-09-12 13:30:00+00:00,1599.26,1609.6,1596.85,1608.42,8657.7321,13886551.997116
2023-09-12 14:00:00+00:00,1608.43,1613.55,1600.26,1603.16,9071.9695,14571436.982144
2023-09-12 14:30:00+00:00,1603.16,1607.0,1594.95,1597.62,8610.0098,13775682.40287
2023-09-12 15:00:00+00:00,1597.63,1603.37,1597.61,1603.03,4882.0253,7816088.555084
2023-09-12 15:30:00+00:00,1603.03,1605.55,1601.54,1603.85,4167.3431,6683409.905733
